                                    Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
    180_240_0_240_150_180_120          375.9          190.3          468.7          -36.9
       180_240_0_240_60_90_60          376.6          261.2          529.5          -21.8
      180_240_0_270_60_330_90          376.7          293.4          523.5          -27.8
      180_240_0_240_60_330_30          377.2          272.2          518.8          -26.7
     150_210_0_240_330_300_60          377.6          169.4          474.2          -49.4
      210_210_0_240_60_270_90          377.8          166.7          479.2          -43.2
     210_210_0_240_60_330_330          378.0          169.6          482.8          -41.4
    180_240_0_240_150_330_120          378.4          251.2          513.0          -26.0
      120_240_0_240_60_90_240          378.6          291.2          528.3          -33.1
     180_240_0_240_150_150_90          379.0          234.9          478.4          -30.3
     210_210_0_240_60_270_240          379.1          216.4          530.1          -29.2
     180_240_0_270_150_180_90          379.2          262.1          484.8          -33.8
     150_210_0_240_60_270_150          379.6          199.7          498.0          -32.1
     180_240_0_240_150_240_60          379.9          243.7          508.4          -33.5
      210_210_0_240_60_330_60          380.3          157.9          481.0          -38.7
    120_240_0_240_330_270_240          380.5          286.3          523.8          -39.7
     180_240_0_240_330_180_60          381.1          240.4          507.5          -36.9
    120_240_0_240_330_330_330          381.5          270.7          499.8          -32.9
     120_240_0_240_60_270_300          382.0          294.3          537.0          -20.4
     120_240_0_240_150_330_60          382.0          292.0          526.3          -21.0
    180_240_0_240_330_270_210          382.0          259.8          535.2          -27.6
     180_240_0_240_330_270_30          382.0          271.2          518.6          -35.5
      120_240_0_240_60_270_30          382.2          306.7          518.9          -28.6
    180_240_0_240_150_270_120          382.8          275.1          516.6          -33.7
    180_240_0_240_150_240_270          382.9          257.9          517.7          -31.4
    180_240_0_240_330_330_300          382.9          247.6          523.1          -29.0
      180_240_0_240_60_150_60          383.1          239.9          511.2          -22.0
    120_240_0_240_330_270_120          383.6          272.6          514.5          -38.9
    210_210_0_240_330_300_330          383.7          179.1          485.0          -42.1
     120_240_0_270_60_270_330          383.9          343.1          523.5          -27.6
    150_210_0_240_150_330_150          384.3          183.8          472.4          -30.1
      180_240_0_240_60_90_210          384.4          259.0          540.9          -20.1
      210_210_0_240_60_270_30          384.4          174.6          499.1          -38.2
     180_240_0_270_60_270_300          384.6          321.6          547.9          -21.6
     180_240_0_240_330_300_30          384.8          256.9          508.2          -33.6
      180_240_0_270_60_120_90          384.9          301.4          514.6          -29.8
    210_210_0_240_330_270_330          385.2          175.3          479.6          -46.0
      150_210_0_240_60_270_60          385.4          171.1          475.0          -47.1
    180_240_0_240_150_270_240          385.7          295.0          533.3          -28.3
    210_210_0_240_330_270_120          385.7          169.9          477.6          -49.0
      150_210_0_240_60_330_90          386.6          162.6          466.7          -50.3
     180_240_0_240_150_330_30          386.7          293.7          521.3          -19.6
      150_210_0_270_60_270_90          387.2          237.4          475.1          -48.4
    150_210_0_240_150_180_150          387.4          147.0          428.3          -42.6
    210_210_0_240_150_330_330          387.5          191.1          485.4          -34.3
     120_240_0_240_60_270_270          388.2          287.7          540.7          -23.7
     150_210_0_240_60_330_330          388.4          178.5          478.4          -44.9
     150_210_0_240_60_120_180          389.1          197.1          490.0          -54.5
      180_240_0_240_60_150_90          389.1          234.2          496.0          -23.0
      150_210_0_240_60_120_60          389.4          167.1          463.4          -48.9
     150_210_0_240_60_270_240          389.4          211.3          514.3          -36.7
    150_210_0_240_330_270_120          389.5          175.2          471.6          -52.6
     180_240_0_240_60_120_270          389.6          255.6          523.4          -33.5
     210_210_0_240_150_330_60          389.8          179.4          483.6          -31.6
     120_240_0_240_150_180_30          389.9          278.4          457.8          -39.7
     150_210_0_240_60_270_270          390.3          179.3          487.4          -35.5
      180_240_0_240_60_60_240          390.4          279.6          538.3          -24.9
     180_240_0_270_60_270_270          390.7          314.5          548.2          -19.7
     120_240_0_240_330_270_60          390.9          267.5          505.8          -39.6
       150_210_0_240_60_270_0          391.5          202.2          503.5          -33.6
      120_240_0_240_60_330_90          391.8          268.5          518.1          -26.7
     180_120_60_330_60_270_90          391.8          199.0          502.5          -32.1
     150_210_0_240_60_270_210          391.9          198.4          490.2          -47.0
     210_210_0_240_150_180_30          392.1          146.3          438.1          -49.3
    210_210_0_240_150_180_330          392.6          161.1          450.4          -41.3
      150_210_0_240_60_60_150          392.8          199.3          487.1          -38.2
      120_240_0_270_60_270_90          392.9          344.7          527.2          -24.8
    120_240_0_240_330_270_210          392.9          290.5          517.8          -32.5
     120_240_0_240_150_180_60          393.1          272.6          486.9          -30.3
     120_240_0_240_60_330_180          393.9          277.4          527.8          -30.5
     120_240_0_240_60_120_330          394.0          289.9          518.1          -29.9
    150_210_0_240_330_300_330          394.1          188.0          480.6          -45.6
     120_240_0_240_60_270_180          394.4          308.8          536.8          -28.2
      150_210_0_240_60_120_90          394.8          170.6          457.8          -52.3
      120_240_0_240_60_90_210          395.3          289.7          523.6          -25.0
    150_210_0_240_330_270_330          395.6          184.2          475.2          -49.5
     150_210_0_240_150_330_90          396.1          184.1          469.3          -43.2
     180_240_0_240_150_240_90          396.2          218.4          478.0          -39.9
      300_240_0_240_60_270_90          396.5          295.0          523.6          -17.4
     210_30_60_330_60_270_120          396.8          264.8          558.3          -28.0
    150_210_0_240_150_330_330          397.9          200.0          481.0          -37.8
    120_240_0_240_330_300_180          397.9          281.3          522.3          -32.9
      150_210_0_240_60_330_60          398.0          170.3          484.9          -43.1
      150_210_0_240_60_270_30          398.1          183.9          485.5          -41.7
      210_30_60_330_60_120_30          398.3          218.0          525.2          -32.0
    120_240_0_240_150_270_330          398.3          314.1          508.9          -32.4
     210_240_0_240_60_270_330          398.4          207.6          508.1          -23.7
      150_210_0_240_60_90_150          398.7          195.7          489.5          -32.1
     210_210_0_240_330_270_60          398.7          154.9          463.1          -50.2
    180_240_0_240_330_330_120          398.8          245.0          505.9          -35.3
     180_120_60_330_60_120_60          399.0          171.0          476.3          -32.0
    180_240_0_240_150_270_300          399.0          292.6          533.3          -26.4
    120_240_0_240_330_300_120          399.4          273.6          514.4          -36.3
       180_240_0_240_60_60_30          399.5          297.0          527.5          -25.2
      210_30_60_330_60_90_240          399.9          252.9          546.5          -26.5
      120_240_0_240_60_120_90          400.0          276.5          509.2          -28.7
     150_210_0_240_330_180_90          400.0          139.4          434.0          -63.2
      180_240_0_270_60_90_240          400.3          325.0          544.4          -24.4
     210_30_60_330_60_270_240          400.3          280.6          572.1          -19.6
     180_240_0_240_60_180_330          400.7          291.3          504.0          -35.3
      120_240_0_240_60_90_120          400.8          297.0          535.0          -28.7
     210_210_0_240_150_180_60          400.9          160.0          444.2          -40.9
      180_240_0_240_330_0_330          401.2          251.2          523.2          -28.4
     120_240_0_240_150_330_90          401.3          290.0          520.6          -19.6
    210_210_0_240_330_300_120          401.4          170.8          477.5          -46.4
       60_240_0_240_60_270_90          401.8          257.5          483.6          -23.8
       180_240_0_270_60_60_60          401.8          344.8          552.1          -22.6
       120_240_0_240_60_60_60          401.9          314.7          541.7          -23.1
    150_210_0_240_330_300_210          401.9          167.3          471.5          -54.5
     210_210_0_240_150_180_90          402.0          129.6          427.1          -50.9
     150_210_0_240_150_270_90          402.2          209.9          461.2          -53.2
     120_240_0_240_330_330_60          402.4          285.8          519.2          -30.3
      120_240_0_240_60_120_30          402.5          285.6          487.0          -38.3
      210_210_0_240_60_90_120          402.9          194.3          498.2          -38.8
     180_240_0_240_330_180_30          402.9          262.6          490.1          -46.0
    150_210_0_240_150_180_330          403.0          170.0          446.1          -44.8
       180_240_0_240_60_0_330          403.0          249.5          532.0          -24.2
    120_240_0_240_150_330_180          403.4          298.9          530.3          -23.4
     180_240_0_270_60_120_330          403.5          317.8          528.7          -29.2
     180_240_0_240_60_330_270          403.7          233.5          532.2          -25.2
    180_240_0_270_150_330_330          403.8          312.5          535.9          -22.9
     120_240_0_240_60_120_120          404.3          281.8          503.9          -38.3
    150_210_0_240_330_330_150          404.7          177.6          465.3          -39.4
      210_210_0_240_60_120_30          404.7          153.5          467.3          -47.9
    180_240_0_240_150_270_270          405.2          285.6          533.7          -24.5
     120_240_0_240_330_180_90          405.2          245.3          485.4          -39.6
    150_210_0_240_330_300_120          405.3          176.2          471.5          -50.0
      210_30_60_330_60_270_30          405.3          256.9          559.5          -27.1
     180_240_0_240_60_120_210          405.5          241.7          527.1          -29.7
     120_240_0_270_60_270_240          405.5          368.2          546.1          -32.0
      120_240_0_240_60_90_330          405.5          301.6          534.1          -20.3
     150_210_0_240_150_180_30          405.8          155.6          424.4          -52.8
     120_240_0_240_60_330_300          406.3          283.0          531.0          -25.4
     210_210_0_240_60_120_120          406.3          179.0          467.0          -48.4
      150_210_0_240_60_90_120          406.7          199.6          492.2          -42.4
    180_240_0_240_150_240_330          407.0          229.3          496.9          -32.5
     180_240_0_270_60_270_210          407.0          341.7          557.5          -19.9
      180_240_0_270_60_270_30          407.0          353.1          540.9          -27.8
     180_240_0_240_330_330_30          407.1          287.5          514.2          -28.9
     120_240_0_240_150_270_90          407.4          315.8          512.6          -29.6
     150_210_0_240_150_330_60          407.5          191.8          487.5          -36.0
    150_210_0_240_150_240_150          407.6          178.6          456.1          -48.7
     120_240_0_270_60_330_330          407.6          333.5          518.6          -30.5
    210_210_0_240_330_330_330          407.9          184.9          478.2          -43.6
    180_120_60_330_60_270_330          408.0          187.4          491.4          -38.5
      210_210_0_240_60_90_240          408.2          217.5          526.5          -30.1
      120_240_0_240_60_330_30          408.3          303.8          511.0          -27.3
     120_240_0_270_60_270_120          408.6          354.5          536.8          -31.2
     210_210_0_240_60_270_270          408.7          177.9          503.7          -29.2
     210_210_0_240_330_270_90          408.8          162.9          471.1          -50.7
    180_240_0_270_150_180_330          408.9          282.5          501.0          -29.9
      150_210_0_240_150_180_0          409.0          169.9          448.1          -49.1
     180_240_0_270_60_330_300          409.0          310.4          541.9          -26.6
     120_240_0_240_60_330_120          409.2          280.2          516.0          -35.4
       90_240_0_240_60_270_90          409.6          222.3          479.0          -32.4
     210_240_0_240_60_270_120          409.7          214.0          516.5          -25.5
       210_210_0_240_60_60_60          409.7          202.1          499.0          -33.7
     210_210_0_270_60_270_330          409.8          255.9          501.2          -38.3
    210_210_0_240_330_270_240          410.1          212.6          522.0          -36.7
     150_210_0_240_60_120_120          410.2          184.4          461.0          -52.0
     210_210_0_270_60_270_120          410.2          250.4          499.2          -41.3
     210_210_0_240_330_330_60          410.2          173.2          476.5          -40.9
     120_240_0_240_60_120_300          410.4          300.5          528.9          -28.1
    120_240_0_240_330_180_330          410.4          262.8          496.5          -37.5
      210_210_0_240_60_330_30          410.5          171.7          491.3          -36.9
    150_210_0_240_330_270_150          410.5          195.8          489.9          -39.6
     210_210_0_240_330_300_90          410.5          156.4          466.9          -57.6
     210_210_0_240_60_120_180          410.9          177.9          484.2          -47.6
     210_210_0_240_60_330_120          411.2          177.4          479.2          -45.5
       30_240_0_240_60_270_90          412.2          332.1          517.6          -19.9
      180_240_0_240_150_60_60          412.6          270.2          509.0          -21.5
    120_240_0_240_330_270_300          412.9          290.4          529.0          -27.9
      120_240_0_240_60_60_330          413.0          312.9          541.5          -21.7
     180_240_0_270_60_120_300          413.0          327.8          539.8          -29.3
     120_240_0_240_330_270_30          413.1          302.8          510.8          -36.1
      180_240_0_240_60_60_300          413.2          274.0          545.0          -25.1
    180_240_0_240_150_330_270          413.2          255.0          534.8          -18.1
      180_240_0_240_330_0_300          413.6          267.8          540.2          -32.3
      120_240_0_240_60_60_180          413.8          326.5          547.2          -26.8
     150_210_0_270_60_270_120          414.0          255.7          493.2          -44.9
      180_240_0_210_60_270_90          414.7          218.4          514.4          -30.4
      60_240_0_240_60_270_120          414.7          239.1          506.4          -26.7
      180_240_0_270_60_90_330          415.0          329.5          544.7          -19.6
     150_210_0_240_60_330_120          415.1          182.8          473.1          -49.1
     180_240_0_270_150_330_60          415.1          329.8          555.1          -20.5
     150_210_0_240_60_330_180          415.3          181.5          494.4          -50.0
     210_210_0_240_330_270_30          415.3          170.7          491.1          -45.7
       180_240_0_240_60_0_300          415.4          266.1          549.0          -28.1
      210_30_60_330_60_90_120          415.4          256.5          548.7          -31.3
     150_210_0_240_60_270_180          415.7          212.8          503.4          -47.7
    120_240_0_240_150_330_300          415.8          304.5          533.6          -18.3
     120_240_0_240_330_300_30          415.9          288.5          500.4          -34.2
      120_240_0_270_60_270_60          415.9          349.4          528.1          -31.9
    120_240_0_240_150_180_120          416.1          240.7          474.3          -39.2
     150_210_0_240_330_270_60          416.4          167.3          467.0          -54.6
     120_240_0_240_60_120_210          416.4          272.4          509.7          -34.6
     150_210_0_240_330_330_90          416.4          177.8          462.2          -52.5
      180_240_0_270_60_90_120          416.5          324.6          543.7          -26.2
      210_30_60_330_90_330_30          416.8          289.7          559.7          -28.2
    180_120_60_330_90_330_330          417.2          213.6          494.6          -43.8
     120_240_0_240_150_330_30          417.8          325.3          513.6          -20.2
      180_240_0_240_60_180_60          417.9          319.1          518.7          -35.2
     120_240_0_270_60_270_210          417.9          372.4          540.1          -24.8
    120_240_0_240_150_180_180          418.1          284.6          483.3          -35.6
     210_210_0_240_330_300_30          418.1          156.4          480.7          -43.8
    210_210_0_240_150_180_120          418.2          138.0          437.4          -49.3
    150_210_0_240_330_330_330          418.3          193.8          473.9          -47.1
      150_210_0_240_60_120_30          418.4          162.8          453.6          -51.4
      150_210_0_240_60_90_240          418.5          212.4          510.8          -37.6
     150_210_0_240_150_180_60          418.5          172.3          448.1          -45.3
    120_240_0_240_150_330_120          418.7          301.7          518.6          -28.3
    180_240_0_240_150_150_120          418.8          227.1          487.7          -39.5
     180_120_60_330_90_300_60          418.9          214.0          510.8          -31.2
    120_240_0_240_330_270_270          419.1          283.8          532.6          -31.2
    150_210_0_240_330_300_180          419.3          185.4          489.0          -52.4
     180_240_0_270_150_330_90          419.3          322.5          544.6          -20.7
     210_240_0_240_330_300_60          419.6          210.1          507.5          -30.5
     210_240_0_240_60_270_240          419.8          242.6          539.5          -20.4
      120_240_0_270_60_120_60          419.9          345.4          516.4          -33.7
    120_240_0_240_150_270_240          419.9          339.2          531.5          -36.8
     180_240_0_270_60_120_120          420.0          309.4          512.5          -35.8
     210_210_0_240_150_330_30          420.0          193.2          493.9          -29.8
    180_240_0_240_330_180_120          420.0          206.1          493.2          -43.8
     150_210_0_270_60_270_330          420.2          264.8          496.8          -41.8
      180_240_0_240_330_0_270          420.2          267.5          542.6          -27.1
     180_120_60_330_90_330_60          420.3          227.7          508.4          -33.4
     210_210_0_240_60_120_330          420.4          204.1          496.6          -40.6
    150_210_0_240_330_270_240          420.4          207.5          506.3          -44.2
       150_210_0_240_60_330_0          420.5          184.1          487.2          -43.5
     300_240_0_240_150_180_90          420.7          257.9          471.5          -25.1
    210_210_0_240_150_330_120          420.7          198.9          481.7          -38.4
     210_30_60_330_60_120_120          421.0          252.2          537.2          -30.1
    150_210_0_240_330_270_270          421.3          175.5          479.3          -43.0
    180_240_0_240_150_270_210          421.5          312.8          542.9          -24.7
     180_240_0_240_150_270_30          421.5          324.2          526.3          -32.6
     120_240_0_240_330_330_90          421.7          283.8          513.5          -28.9
       180_240_0_240_60_0_270          422.0          265.8          551.4          -22.9
    150_210_0_240_150_180_120          422.0          143.3          431.4          -52.9
     210_240_0_240_60_330_330          422.1          198.0          503.2          -26.6
     180_120_60_330_60_270_60          422.3          192.8          490.4          -35.0
      180_240_0_270_60_60_330          422.5          340.8          552.1          -21.0
      150_210_0_240_330_270_0          422.5          198.4          495.4          -41.1
    150_210_0_240_330_270_210          422.8          194.5          482.1          -54.5
    120_240_0_240_150_270_120          423.1          325.6          522.2          -36.0
      210_210_0_270_60_270_60          423.3          235.5          484.7          -42.5
     120_240_0_270_60_120_180          423.8          371.2          537.6          -34.8
      180_240_0_240_60_60_270          423.8          269.5          544.5          -23.4
