                                    Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
      150_210_0_240_60_60_180          435.2          230.6          513.9          -46.3
      90_240_0_240_60_270_240          435.6          255.8          509.7          -31.1
      210_210_0_270_60_330_60          435.8          234.6          494.5          -38.5
      210_240_0_240_60_270_90          436.0          212.8          507.9          -22.7
     120_240_0_240_150_240_60          436.0          291.7          512.3          -33.8
        150_210_0_240_60_60_0          436.1          219.2          502.2          -44.5
    120_240_0_240_330_330_300          436.2          298.3          526.5          -27.6
     210_210_0_240_330_180_30          436.3          162.2          462.6          -56.2
    120_240_0_240_150_240_270          436.3          309.1          524.4          -35.2
     180_240_0_240_150_300_90          436.3          216.7          493.3          -31.8
      30_240_0_240_150_180_90          436.3          294.9          465.5          -27.6
      180_240_0_240_330_0_240          436.7          262.3          535.1          -30.9
      180_210_0_240_60_270_90          436.7          204.2          494.3          -36.7
    210_210_0_240_330_180_330          436.7          176.9          474.9          -48.2
      150_210_0_240_60_180_90          436.8          218.1          445.2          -61.5
    210_240_0_240_150_180_330          436.8          189.6          470.8          -26.5
     210_210_0_240_150_150_60          436.8          175.9          454.8          -40.2
     210_210_0_240_60_330_180          437.0          162.2          488.6          -43.1
     120_240_0_240_330_180_60          437.2          288.4          511.4          -37.2
      120_240_0_240_60_60_210          437.4          304.9          529.7          -26.4
     210_210_0_240_60_270_180          437.4          193.5          497.6          -40.8
       180_240_0_240_60_60_90          437.8          245.5          522.2          -23.1
     120_240_0_270_60_270_300          437.9          372.3          551.3          -20.2
      120_240_0_270_60_270_30          438.1          384.7          533.1          -28.4
     120_240_0_240_330_330_30          438.2          319.1          506.5          -29.5
     210_210_0_240_150_270_60          438.2          207.9          470.8          -47.3
    150_210_0_240_150_240_270          438.4          200.7          471.0          -47.0
       180_240_0_240_60_0_240          438.5          260.6          543.9          -26.7
      210_30_60_330_60_270_90          438.5          262.9          549.1          -28.4
     210_30_60_330_90_330_120          438.7          304.2          559.9          -34.4
    120_240_0_240_330_330_120          439.1          295.5          511.5          -37.6
      180_240_0_270_60_150_60          439.1          318.0          525.4          -21.8
      120_240_0_240_60_150_60          439.2          287.9          515.1          -22.3
      210_210_0_240_60_60_330          439.3          227.0          520.0          -32.4
    210_240_0_240_330_300_300          439.3          220.0          512.7          -28.0
    150_210_0_240_150_180_180          439.4          188.6          449.9          -55.1
     210_30_60_330_60_120_180          439.6          249.4          542.4          -28.5
    210_210_0_240_330_270_270          439.7          174.1          495.6          -36.7
      180_240_0_240_60_180_30          439.7          341.3          501.2          -44.3
     150_210_60_330_60_270_90          439.9          208.8          489.5          -41.1
      210_210_0_270_60_270_30          439.9          251.3          512.7          -38.0
      210_240_0_240_60_330_60          440.0          211.0          518.2          -24.2
      180_240_0_270_60_90_210          440.3          337.0          555.2          -19.9
     210_210_0_240_330_330_30          440.4          187.0          486.7          -39.1
       210_210_0_240_60_90_60          440.4          196.5          490.7          -32.7
      90_240_0_240_330_270_90          440.6          218.5          470.9          -39.9
    210_240_0_240_330_270_120          440.6          210.1          508.4          -33.0
      210_210_0_240_60_120_90          440.8          176.5          475.4          -46.9
      150_210_0_270_60_270_60          440.9          247.8          488.6          -46.9
    180_240_0_270_150_270_330          441.0          349.7          537.9          -31.7
    210_210_0_240_330_300_180          441.0          166.1          483.1          -45.5
   210_180_330_330_90_300_300          441.1          217.1          490.9          -33.5
    210_210_0_240_330_330_120          441.1          192.7          474.6          -47.7
      60_240_0_240_60_270_330          441.2          265.0          494.7          -24.8
      180_240_0_240_60_150_30          441.8          281.1          518.5          -23.9
     300_240_0_240_60_270_120          441.8          303.0          539.3          -20.2
    180_120_60_330_90_300_330          441.9          210.3          510.0          -36.0
      120_240_0_240_60_180_90          442.0          324.0          496.5          -37.9
      150_210_0_270_60_330_90          442.0          239.2          480.2          -50.1
     210_210_0_240_150_330_90          442.1          190.0          486.9          -37.8
      150_210_0_240_60_90_330          442.2          224.6          508.2          -34.5
      90_240_0_240_330_300_90          442.3          212.0          466.7          -46.8
     210_30_60_330_90_150_120          442.8          288.1          573.4          -28.5
     120_240_0_240_60_120_270          443.0          306.8          530.1          -37.3
     300_240_0_240_330_300_60          443.2          328.2          546.5          -25.2
      30_240_0_240_330_270_90          443.2          328.3          509.5          -27.4
      210_30_60_330_90_300_30          443.5          261.7          562.3          -26.6
      60_240_0_240_60_270_270          443.6          256.9          521.9          -17.4
     210_210_0_240_150_240_60          443.8          179.1          469.6          -44.4
     150_210_0_270_60_330_330          443.9          255.2          491.9          -44.7
     120_240_0_270_60_270_270          444.1          365.7          555.0          -23.5
        150_210_0_240_60_90_0          444.2          227.9          511.3          -33.3
      150_210_0_240_330_300_0          444.2          196.7          490.8          -48.8
     210_30_60_330_90_300_300          444.5          297.9          580.5          -24.6
     150_210_0_270_150_180_90          444.5          207.9          441.5          -56.1
     180_120_60_330_90_150_90          444.6          242.7          521.1          -26.2
     150_210_0_270_60_120_180          444.6          273.8          503.6          -54.3
      60_240_0_240_330_300_60          444.7          270.9          491.2          -31.6
     150_210_0_240_150_150_90          444.8          182.1          435.8          -52.6
      150_210_0_270_60_120_60          444.9          243.8          476.9          -48.7
      30_240_0_240_330_300_90          444.9          321.8          505.3          -34.3
     150_210_0_270_60_270_240          444.9          288.0          527.9          -36.5
    150_210_0_240_330_330_120          444.9          198.0          468.6          -51.3
     210_210_0_240_330_180_60          445.0          175.8          468.7          -47.8
      180_240_0_270_60_150_90          445.1          312.3          510.3          -22.8
     150_210_0_240_60_120_270          445.1          198.4          476.7          -49.1
    150_210_0_240_330_330_180          445.2          196.8          489.8          -52.2
     180_240_0_270_60_120_270          445.6          333.7          537.6          -33.3
     210_30_60_330_90_240_120          445.6          258.5          549.0          -36.6
     60_240_0_240_330_270_120          445.7          235.3          498.3          -34.2
     150_210_0_270_60_270_270          445.8          256.0          500.9          -35.3
    180_120_60_330_60_270_120          446.1          209.4          509.3          -27.6
     210_210_0_240_330_180_90          446.1          145.4          451.6          -57.8
     180_120_60_330_60_330_90          446.1          196.7          494.5          -42.7
     210_30_60_330_60_270_270          446.2          262.2          566.2          -21.8
     150_210_0_240_60_120_210          446.3          176.4          474.0          -56.6
      180_240_0_270_60_60_240          446.3          357.6          552.6          -24.7
       150_210_0_240_60_60_30          446.5          205.8          486.4          -38.9
    210_210_0_240_150_330_180          446.5          183.7          491.1          -36.0
    150_210_0_240_330_270_180          446.7          209.0          495.3          -55.2
    180_120_60_330_60_120_330          446.8          194.5          497.9          -35.8
      210_210_0_240_60_150_60          447.0          175.3          472.4          -32.9
       150_210_0_270_60_270_0          447.0          278.9          517.0          -33.4
     120_240_0_240_60_180_330          447.2          341.5          507.7          -35.8
    150_210_0_240_330_180_330          447.2          185.9          470.6          -51.7
     150_210_0_270_60_270_210          447.4          275.1          503.7          -46.8
      120_240_0_240_330_0_330          447.7          301.4          526.9          -28.9
      120_240_0_270_60_330_90          447.7          346.5          532.3          -26.5
     180_240_0_270_150_180_30          447.9          332.5          498.2          -38.9
     210_30_60_330_90_300_120          447.9          284.8          571.3          -26.8
     210_210_60_330_60_120_60          448.1          180.2          480.0          -32.2
      180_120_60_330_90_330_0          448.1          228.3          509.1          -38.9
     210_210_0_240_150_270_90          448.2          215.8          478.9          -47.8
      150_210_0_270_60_60_150          448.3          276.0          500.6          -38.0
    210_180_330_330_90_150_30          448.4          205.1          494.3          -34.8
    180_240_0_240_150_300_330          448.6          228.3          504.3          -22.0
      180_240_0_240_330_0_120          448.6          240.4          512.3          -33.7
      210_240_0_240_60_90_240          448.8          243.6          535.9          -21.3
     150_240_0_240_60_270_330          448.8          171.9          487.8          -35.1
       210_30_60_330_90_60_30          449.0          286.8          549.0          -30.0
      210_210_0_240_150_180_0          449.1          162.7          450.9          -45.6
    180_240_0_240_150_180_300          449.4          289.2          491.0          -31.3
     210_240_0_240_150_330_60          449.5          232.5          520.8          -17.1
       120_240_0_240_60_0_330          449.5          299.7          535.7          -24.7
    210_210_0_240_150_270_240          449.5          265.5          529.8          -33.8
      150_210_0_240_60_60_330          449.7          235.9          515.6          -35.9
     120_240_0_270_60_330_180          449.9          355.5          542.0          -30.3
     150_210_0_240_330_180_30          449.9          171.4          448.9          -59.7
    150_210_0_240_150_270_150          450.0          248.8          497.6          -36.7
     120_240_0_270_60_120_330          450.0          368.0          532.3          -29.7
     120_240_0_240_150_150_90          450.0          288.0          487.2          -29.0
    120_240_0_240_150_150_180          450.1          295.8          498.6          -34.2
     210_240_0_240_60_270_300          450.1          233.8          531.0          -18.2
     120_240_0_270_150_180_90          450.2          315.2          493.5          -32.5
      150_210_0_270_60_120_90          450.2          247.2          471.3          -52.1
    120_240_0_270_150_330_330          450.2          362.6          539.6          -23.4
     120_240_0_270_60_270_180          450.3          386.8          551.0          -28.0
       180_240_0_240_60_0_120          450.4          238.7          521.1          -29.5
      150_210_0_240_330_330_0          450.4          199.4          482.7          -45.7
    210_240_0_240_330_270_240          450.7          238.7          531.4          -27.9
     210_30_60_330_60_270_300          450.9          288.8          577.5          -20.9
       150_210_0_240_60_120_0          450.9          204.9          492.7          -42.3
      300_240_0_240_60_270_60          451.0          329.9          547.3          -22.9
      120_240_0_270_60_90_210          451.2          367.7          537.8          -24.8
      300_240_0_240_60_330_90          451.3          296.8          528.7          -19.1
    210_180_330_330_90_300_60          451.4          220.3          502.7          -37.4
    180_240_0_270_150_330_300          451.6          339.5          562.9          -19.5
     210_30_60_330_60_120_300          452.0          277.2          566.9          -23.8
    210_240_0_240_330_330_330          452.0          213.3          498.7          -28.8
    120_240_0_240_150_270_300          452.4          343.4          536.7          -25.0
      300_240_0_270_60_270_90          452.5          373.1          537.8          -17.2
    210_180_330_330_90_330_30          452.5          239.0          509.5          -26.3
     120_240_0_240_150_270_30          452.6          355.8          518.5          -33.2
    210_180_330_330_90_150_60          452.6          220.4          493.3          -32.7
       60_240_0_240_60_270_60          452.6          272.7          492.0          -29.3
      180_240_0_210_60_270_60          452.7          228.3          520.2          -35.9
     210_30_60_330_60_330_120          452.8          264.4          538.7          -40.9
      90_240_0_240_60_330_330          452.9          231.4          490.8          -34.4
      150_210_0_240_330_180_0          453.1          185.7          472.6          -56.0
      120_210_0_240_60_270_90          453.1          167.4          470.5          -49.0
      210_30_60_330_90_300_60          453.4          304.1          556.1          -30.7
    120_240_0_240_150_240_330          453.4          279.4          500.6          -33.0
      150_210_0_270_60_330_60          453.5          247.0          498.4          -42.9
     150_240_0_240_60_270_120          453.5          174.7          494.5          -37.0
      150_210_0_270_60_270_30          453.6          260.6          499.0          -41.5
      90_240_0_240_60_270_120          453.6          251.9          511.4          -36.9
      180_120_60_330_90_240_0          453.9          214.3          515.8          -34.2
     180_240_0_210_60_330_330          453.9          210.1          510.9          -34.3
     150_240_0_240_150_180_90          454.0          125.0          422.2          -43.7
     150_210_0_240_330_330_30          454.1          196.3          473.1          -42.6
      150_210_0_270_60_90_150          454.1          272.3          503.0          -31.9
      210_210_0_240_60_60_240          454.2          250.1          534.7          -30.4
     210_240_0_270_60_270_330          454.4          285.7          522.3          -23.5
     150_210_0_240_150_150_60          454.5          188.3          458.6          -44.6
    210_180_330_330_90_330_60          454.6          245.8          516.9          -27.2
     210_210_0_240_150_270_30          454.8          223.7          498.8          -42.8
      210_30_60_330_90_330_60          454.8          317.8          553.6          -32.9
      300_240_0_240_60_120_60          455.0          325.9          535.6          -24.7
      150_210_0_240_60_150_90          455.0          181.5          453.4          -45.3
      180_120_60_330_90_150_0          455.2          231.9          520.2          -28.0
      210_240_0_240_60_270_30          455.3          246.5          526.9          -24.4
     30_240_0_240_330_270_120          455.3          327.6          511.3          -30.2
    120_240_0_270_150_180_330          455.4          332.7          504.7          -30.4
       180_240_0_270_60_60_30          455.5          375.1          541.7          -25.0
    180_240_0_240_150_300_300          455.5          243.2          516.8          -22.7
      150_210_0_240_330_0_150          455.5          201.7          488.8          -39.4
     150_210_0_240_150_270_60          455.8          220.2          474.7          -51.7
      120_240_0_270_60_120_90          455.9          354.5          523.4          -28.5
     180_120_60_330_60_90_330          456.1          195.2          494.3          -37.0
    210_240_0_240_330_300_120          456.4          211.1          508.3          -30.4
      60_240_0_240_60_120_180          456.5          272.6          510.8          -34.4
       60_240_0_240_60_120_60          456.6          268.7          480.3          -31.1
       60_240_0_240_60_330_90          456.6          259.3          488.7          -25.5
      180_240_0_210_60_120_60          456.6          224.2          508.6          -37.7
     180_240_0_270_60_180_330          456.7          369.4          518.2          -35.1
     180_240_0_240_60_180_120          456.8          284.8          504.4          -42.1
      120_240_0_270_60_90_120          456.8          375.1          549.3          -28.5
    210_210_0_240_150_240_270          456.8          199.3          487.3          -40.7
      210_30_60_330_60_270_60          456.8          282.9          535.7          -34.5
      210_210_0_240_60_60_180          456.9          211.3          508.0          -39.4
       180_120_60_330_60_90_0          456.9          207.6          503.1          -32.3
     180_240_0_240_150_60_240          457.1          283.0          509.4          -23.6
     120_240_0_240_60_330_270          457.1          284.7          538.9          -29.0
    150_210_60_330_90_240_150          457.2          220.8          500.4          -38.2
       150_210_0_240_60_0_150          457.3          200.0          497.6          -35.2
      300_30_60_330_60_120_30          457.5          272.4          537.0          -16.9
    150_210_60_330_60_120_150          457.6          204.5          493.3          -29.4
       60_240_0_270_60_270_90          457.8          335.6          497.8          -23.6
      210_240_0_240_60_90_120          457.8          234.5          529.0          -22.8
       120_240_0_270_60_60_60          457.9          392.8          556.0          -22.9
     120_210_0_240_60_270_330          458.1          183.4          475.0          -46.1
       150_210_0_240_60_90_60          458.1          208.9          494.6          -37.1
     180_120_60_330_90_240_90          458.2          196.0          489.9          -42.7
      210_210_0_270_60_90_120          458.3          270.9          511.7          -38.6
      60_240_0_240_60_270_240          458.3          304.7          533.5          -21.0
     210_240_0_240_330_270_60          458.4          208.0          500.2          -35.7
      120_240_0_270_60_120_30          458.4          363.6          501.3          -38.1
    180_240_0_240_150_150_330          458.5          234.6          483.4          -29.0
    120_240_0_240_150_270_270          458.6          336.8          540.4          -28.3
     90_240_0_240_330_300_330          458.6          240.9          493.0          -35.1
    210_210_0_240_330_300_300          458.7          184.0          482.4          -43.6
    180_120_60_330_90_240_270          458.8          235.2          532.5          -26.7
     180_240_0_300_330_300_60          458.8          234.1          520.6          -32.8
       180_240_0_270_60_0_330          459.0          327.6          546.3          -24.0
   210_180_330_330_90_330_300          459.0          244.2          506.6          -24.8
    120_240_0_240_150_150_120          459.0          277.5          493.3          -41.8
     150_210_0_240_60_330_270          459.3          176.4          485.5          -40.8
      90_240_0_240_60_120_180          459.3          258.4          489.1          -40.6
    210_210_60_330_60_270_330          459.4          221.0          511.5          -31.0
   180_240_240_240_60_270_330          459.5          308.1          524.9          -35.4
     150_210_0_240_150_60_150          459.5          202.7          458.2          -36.9
      300_240_0_240_60_120_90          459.5          304.8          519.8          -21.1
      180_120_60_330_90_60_60          459.5          244.1          507.0          -31.7
     180_240_0_300_330_270_90          459.6          222.1          507.6          -32.5
       180_240_0_240_60_90_30          459.6          294.6          526.7          -27.0
     180_240_0_270_60_330_270          459.7          311.6          546.4          -25.0
    150_210_0_240_150_270_240          459.8          260.4          514.0          -41.3
     180_240_0_240_330_240_60          459.9          328.0          516.6          -29.5
     210_240_0_240_150_180_90          460.1          175.6          455.7          -30.4
      120_240_0_240_60_150_90          460.2          287.4          504.8          -21.7
     90_240_0_240_330_270_330          460.2          237.2          487.6          -39.0
      210_210_0_270_60_120_30          460.2          230.2          480.8          -47.7
     120_240_0_270_60_120_120          460.2          359.8          518.1          -38.1
     120_240_0_240_60_150_180          460.3          295.2          516.2          -26.9
    120_240_0_240_330_180_120          460.3          256.6          498.8          -46.1
      180_240_0_300_60_270_90          460.3          211.5          500.9          -30.7
     210_240_0_240_150_180_60          460.5          213.0          481.3          -26.4
       210_210_0_240_60_330_0          460.6          176.9          490.1          -40.0
     210_30_60_330_90_330_300          460.7          313.3          579.6          -28.3
    150_210_0_240_150_270_270          460.7          228.4          487.0          -40.1
     300_240_0_240_150_330_90          460.8          318.3          531.3          -12.0
     150_240_0_240_330_270_90          460.8          158.3          466.2          -43.5
     180_210_0_240_150_180_90          460.8          167.0          442.2          -44.4
     300_30_60_330_60_270_120          461.1          295.5          574.0          -12.9
    210_210_0_240_150_150_120          461.1          174.8          456.4          -51.9
     180_240_0_210_60_270_120          461.1          230.8          527.3          -33.2
    210_210_0_240_150_180_180          461.2          169.4          444.1          -48.2
     210_240_0_240_60_120_120          461.3          219.3          497.8          -32.4
     180_240_0_300_330_300_90          461.3          215.6          503.3          -39.4
     60_240_0_240_330_300_120          461.4          236.2          498.1          -31.6
     150_210_0_240_150_240_60          461.4          191.4          473.4          -48.8
     180_240_0_270_60_120_210          461.5          319.8          541.3          -29.5
      120_240_0_270_60_90_330          461.5          379.7          548.3          -20.1
     180_120_60_330_60_120_30          461.7          191.9          489.9          -39.3
     210_210_0_270_60_120_120          461.8          255.7          480.5          -48.2
      150_210_0_240_150_270_0          461.9          251.3          503.1          -38.2
     150_210_0_240_150_240_90          462.0          165.6          435.5          -62.2
     180_240_0_270_150_150_60          462.1          326.3          526.3          -29.1
    210_210_60_330_60_270_120          462.1          221.5          513.3          -34.0
      150_210_0_270_60_90_120          462.2          276.3          505.7          -42.2
      180_120_60_330_60_330_0          462.2          188.5          488.0          -45.4
    120_240_0_240_330_180_180          462.2          300.4          507.8          -42.5
    150_210_0_240_150_270_210          462.3          247.5          489.8          -51.6
     120_240_0_270_60_330_300          462.3          361.1          545.3          -25.2
    210_210_0_240_330_180_120          462.3          153.8          461.9          -56.2
     90_240_0_240_150_330_330          462.4          252.9          493.4          -27.3
     150_210_0_150_150_180_90          462.5          128.9          418.5          -70.0
     210_210_0_240_330_330_90          462.5          183.8          479.8          -47.1
     150_240_0_240_330_300_90          462.6          151.9          461.9          -50.4
      210_210_0_240_330_270_0          462.6          191.2          498.2          -37.6
     150_210_0_240_330_180_60          462.6          188.1          472.6          -52.2
     120_240_0_240_150_150_30          462.7          313.3          493.1          -31.8
       60_240_0_240_60_90_120          462.8          259.6          518.8          -24.0
    180_240_0_240_330_240_270          462.9          342.2          525.9          -27.4
     210_240_0_240_150_180_30          463.0          218.2          465.8          -35.5
     180_240_0_270_150_270_60          463.4          358.2          542.3          -36.2
     210_120_60_330_60_120_60          463.5          212.6          512.9          -31.2
      300_240_0_240_60_330_60          463.5          329.0          557.2          -18.9
     210_210_0_240_60_120_270          463.5          197.0          493.0          -42.8
     90_240_0_240_330_300_300          463.7          248.9          496.9          -36.9
      210_210_0_270_60_90_240          463.7          294.2          540.0          -29.9
     180_240_0_210_60_270_240          464.0          250.7          544.0          -27.8
     210_210_0_270_60_270_270          464.2          254.6          517.2          -29.0
      120_240_0_270_60_330_30          464.2          381.8          525.3          -27.1
       90_240_0_240_60_330_90          464.4          224.1          484.1          -34.1
      300_30_60_330_60_270_30          464.5          311.3          571.3          -12.0
     210_240_0_240_60_120_330          464.5          232.5          517.0          -25.8
      150_210_0_240_60_60_240          464.5          245.0          519.0          -37.9
      150_210_0_240_60_150_60          464.6          187.6          476.3          -37.3
       90_240_0_240_60_90_240          464.7          256.9          506.1          -32.0
     180_120_60_330_60_90_120          464.7          201.1          499.7          -30.9
    120_240_0_240_150_270_180          464.8          357.9          536.4          -32.8
     300_240_0_240_330_180_90          464.8          273.7          496.0          -32.0
       60_240_0_240_60_120_90          464.8          267.3          479.8          -27.5
     210_210_0_240_150_150_30          464.9          181.2          473.4          -41.4
    150_210_0_240_330_300_300          464.9          186.0          471.0          -47.1
    150_210_0_240_150_150_120          464.9          180.1          450.4          -55.5
      60_240_0_240_60_330_330          464.9          255.4          489.8          -27.7
    180_240_0_270_150_180_120          465.0          276.0          501.4          -36.7
       60_240_0_240_60_330_60          465.1          271.8          501.9          -25.3
     120_240_0_270_60_330_120          465.1          358.2          530.3          -35.2
       210_210_0_270_60_60_60          465.2          278.8          512.5          -33.5
      180_240_0_210_60_330_60          465.2          227.4          530.1          -31.9
     180_210_0_240_330_300_60          465.3          205.3          490.7          -38.5
    120_240_0_240_150_240_120          465.4          278.1          499.7          -43.0
    210_180_330_330_90_240_60          465.5          220.1          501.3          -37.1
      210_30_60_330_90_150_60          465.5          322.3          563.7          -22.1
      180_120_60_330_60_90_60          465.6          201.9          487.9          -31.0
       90_240_0_270_60_270_90          465.6          300.4          493.2          -32.2
     210_240_0_270_60_270_120          465.6          292.0          530.8          -25.3
     150_210_0_270_60_120_120          465.7          261.1          474.5          -51.8
      180_120_60_330_60_120_0          465.7          195.5          504.1          -30.5
     150_210_60_330_60_120_60          465.8          192.6          483.9          -36.6
    150_210_60_330_60_270_120          465.9          226.8          507.3          -37.6
      210_210_0_270_60_330_30          466.0          248.4          504.8          -36.7
    210_120_60_330_60_270_330          466.0          233.4          532.2          -37.7
      60_240_0_240_150_330_90          466.1          280.8          491.3          -18.4
    150_210_0_240_330_180_120          466.2          159.2          455.9          -59.8
     210_240_0_240_60_330_120          466.2          217.7          509.9          -29.5
     180_210_0_240_60_270_330          466.2          223.1          503.9          -32.0
      180_240_0_240_150_60_30          466.2          300.4          498.6          -23.9
      60_240_0_240_60_120_120          466.3          244.4          487.6          -33.6
     120_240_0_270_60_120_300          466.4          378.6          543.1          -27.9
     210_210_0_270_60_120_180          466.4          254.6          497.7          -47.4
    180_240_0_240_150_240_240          466.4          254.8          504.9          -35.0
      120_240_0_240_60_60_300          466.6          324.8          548.4          -23.7
     90_240_0_240_330_270_240          466.6          252.0          501.6          -38.6
    120_240_0_240_150_330_270          466.6          306.2          541.5          -21.9
     210_210_0_270_60_330_120          466.7          254.1          492.7          -45.3
     120_210_0_240_330_300_60          466.8          163.4          462.0          -52.4
      300_30_60_330_60_120_90          466.8          278.7          551.5          -12.2
    210_210_0_240_330_330_180          466.9          177.5          484.0          -45.3
     210_240_0_240_330_270_90          466.9          208.9          499.8          -30.2
     300_240_0_240_150_270_90          466.9          344.1          523.2          -22.0
      120_240_0_240_330_0_300          466.9          318.5          543.6          -30.9
       30_240_0_240_60_330_90          467.0          333.9          522.7          -21.6
     120_240_0_240_150_240_90          467.2          271.5          486.8          -38.6
      150_210_0_240_60_60_210          467.3          208.9          494.0          -48.4
      90_240_0_240_330_300_60          467.3          229.8          482.5          -38.4
    210_210_0_240_150_240_120          467.4          175.3          462.8          -53.1
    180_240_0_270_150_330_120          467.5          336.9          545.7          -25.8
     90_240_0_240_150_180_330          467.6          223.0          458.4          -34.3
     180_210_0_240_330_270_90          467.7          200.4          486.2          -44.2
     210_240_0_240_60_270_270          468.0          231.1          539.2          -16.3
     180_240_0_270_150_150_90          468.1          320.6          511.1          -30.1
     210_210_60_330_90_300_60          468.1          223.3          514.5          -31.4
       30_240_0_270_60_270_90          468.2          410.2          531.8          -19.7
     150_210_0_240_60_180_150          468.2          241.4          464.0          -47.8
      300_30_60_330_90_300_90          468.3          299.4          566.6          -21.6
    210_210_0_240_330_270_180          468.4          189.7          489.5          -48.3
     150_210_0_240_150_270_30          468.5          233.0          485.1          -46.3
      120_240_0_240_150_60_60          468.6          318.1          512.8          -21.8
    210_210_60_330_90_330_330          468.6          247.2          514.7          -36.3
     210_240_0_240_330_300_90          468.6          202.4          495.5          -37.1
     180_240_0_240_60_150_330          468.7          234.0          501.0          -21.7
       210_30_60_330_60_60_30          468.7          285.5          563.5          -25.2
       120_240_0_240_60_0_300          468.7          316.8          552.4          -26.7
     180_120_60_330_60_270_30          468.8          230.9          524.2          -34.4
    150_210_0_240_150_330_270          468.8          197.9          488.1          -33.7
    210_240_0_240_150_270_330          468.8          256.7          507.7          -28.3
      210_30_60_330_60_330_60          468.9          278.0          532.5          -39.4
      210_30_60_330_90_240_60          468.9          295.3          547.6          -33.2
      120_240_0_270_60_60_330          468.9          390.9          555.7          -21.5
     180_240_0_270_150_240_60          469.0          329.4          541.1          -33.3
      180_240_0_270_60_60_300          469.2          352.1          559.2          -24.9
     120_240_0_240_60_150_120          469.2          276.9          510.9          -34.5
       210_240_0_240_60_60_60          469.4          255.2          536.2          -19.2
    150_210_0_240_150_210_150          469.4          197.8          450.4          -34.0
     180_210_0_240_330_300_90          469.4          193.9          481.9          -51.1
      180_240_0_210_60_330_90          469.5          220.2          519.6          -32.1
     210_210_60_330_90_330_60          469.5          237.0          512.1          -33.6
     210_210_0_240_60_270_300          469.5          197.8          500.7          -33.8
    180_120_60_330_90_240_330          469.6          193.9          496.3          -40.7
    180_120_60_330_60_270_210          469.6          238.5          528.2          -26.7
      120_240_0_270_60_60_180          469.8          404.6          561.5          -26.6
    150_210_60_330_60_270_330          469.9          230.0          507.1          -34.5
     210_240_0_240_330_330_60          469.9          226.3          513.6          -26.4
   180_240_240_240_150_180_90          470.1          246.5          464.5          -38.5
      60_240_0_240_330_180_90          470.1          236.2          456.0          -38.4
     150_240_0_240_60_270_240          470.1          192.9          507.7          -35.8
      210_210_0_240_150_330_0          470.1          198.4          492.6          -32.9
    180_120_60_330_60_120_120          470.3          196.8          488.1          -29.7
     150_150_60_330_60_270_90          470.4          195.4          487.9          -32.2
     150_210_0_270_60_330_120          470.5          259.4          486.7          -48.9
     60_240_0_240_330_300_330          470.6          264.9          492.0          -28.4
      60_240_0_270_60_270_120          470.7          317.2          520.6          -26.5
      210_30_60_330_90_60_240          470.7          322.3          565.5          -26.5
     150_210_0_270_60_330_180          470.8          258.2          507.9          -49.8
      120_240_0_240_60_180_30          470.8          372.9          493.5          -44.9
      120_240_0_240_330_0_240          470.9          306.5          533.2          -39.4
     30_240_0_240_330_300_120          471.1          328.6          511.1          -27.6
     120_240_0_270_150_330_60          471.1          377.7          559.0          -20.8
     150_210_0_270_60_270_180          471.2          289.5          516.9          -47.5
      60_240_0_240_60_330_120          471.2          242.8          499.8          -30.7
     210_210_0_240_60_150_120          471.3          174.2          474.0          -44.6
    150_210_0_240_150_240_120          471.3          180.7          456.8          -56.7
       180_240_0_270_60_0_300          471.3          344.1          563.2          -27.9
    150_210_0_240_150_150_180          471.4          199.8          465.2          -53.7
      300_30_60_330_90_330_90          471.4          324.3          570.9          -17.4
     210_210_60_330_60_270_60          471.5          202.1          494.1          -35.2
    180_240_0_270_150_270_120          471.9          360.8          549.3          -33.5
    180_240_0_270_150_240_270          472.0          343.6          550.4          -31.2
     120_210_0_240_60_270_120          472.0          183.0          478.0          -50.9
     60_240_0_240_330_270_330          472.2          261.2          486.6          -32.3
      60_240_0_240_150_270_90          472.2          306.6          483.2          -28.4
     180_240_0_240_330_90_240          472.3          253.6          515.5          -36.5
     120_240_0_270_60_120_210          472.4          350.5          523.9          -34.4
       30_240_0_240_60_90_120          472.5          352.0          531.8          -20.0
     150_240_0_240_60_330_330          472.5          162.3          482.9          -38.0
       90_240_0_240_60_120_90          472.6          232.1          475.2          -36.1
       120_240_0_240_60_0_240          472.7          304.8          542.0          -35.2
    300_240_0_240_330_270_120          472.8          299.2          531.2          -27.7
      120_240_0_240_60_150_30          472.9          312.7          510.8          -24.5
   210_180_330_330_90_330_330          472.9          249.2          510.0          -27.1
    150_210_0_270_150_330_150          472.9          268.1          504.4          -29.9
      210_210_0_240_60_180_30          473.0          240.8          473.7          -54.5
     300_240_0_240_150_330_60          473.0          350.5          559.8          -11.8
      180_210_0_240_60_270_60          473.2          207.1          491.5          -36.2
    210_240_0_240_150_180_120          473.2          178.3          468.2          -33.3
      150_210_0_240_150_150_0          473.4          201.2          462.0          -44.9
    150_210_60_330_60_120_180          473.4          228.7          516.4          -41.5
     180_120_60_330_60_90_210          473.5          205.1          503.9          -32.7
     210_210_0_240_60_180_330          473.5          255.6          486.1          -46.5
       180_120_60_330_90_60_0          473.5          235.6          504.7          -43.2
      120_240_0_240_330_0_270          473.6          318.7          549.3          -30.9
    180_240_0_300_330_300_330          473.6          227.2          514.3          -29.6
