                                                                  Ordered by
                    Structure         TotalE     NoInterHelVDW     NoAllVDW        InterHB
  120_120_330_180_150_150_330         4915.5          113.8          378.7          -99.6
   150_150_330_180_150_180_90         2147.7           87.5          378.8          -73.6
  150_330_330_240_150_150_150         8453.8          585.3          378.8          -87.4
    120_120_330_0_270_210_210        25538.9          185.4          378.8          -83.0
  120_330_330_180_150_150_150         5613.5          422.1          378.8          -82.9
     120_0_300_150_120_180_30       175313.6          291.5          378.9          -82.7
  150_330_330_180_150_150_210         4990.2          610.7          379.0          -87.9
  120_120_330_240_150_180_240        33890.3         1073.5          379.0          -88.6
   90_180_330_180_150_180_180         1902.6          128.0          379.0          -76.8
   120_120_330_180_150_120_30         5316.4           93.9          379.1         -104.7
  150_330_330_240_150_180_150         8441.1          580.1          379.2          -75.5
     120_120_330_0_90_210_210         4421.6          116.7          379.2          -71.9
  120_180_330_180_150_180_180         1979.2          325.5          379.2          -84.5
  120_330_330_180_150_180_150         5600.8          416.9          379.2          -71.0
   120_330_330_180_90_210_210         6793.8          474.8          379.3          -60.1
  120_120_330_240_150_180_210         4367.7          114.1          379.3          -86.2
    90_120_330_180_150_180_60         2352.0          149.9          379.4          -79.3
   150_330_330_240_120_180_90        10520.0          635.7          379.4          -75.7
   150_330_240_150_150_180_90       142703.0          302.5          379.4          -53.8
      90_0_330_180_150_180_30        47636.9          204.3          379.5          -66.4
    90_120_330_180_150_150_60         2364.0          154.3          379.6          -92.3
    90_120_330_240_150_180_90         1623.6          122.6          379.6          -85.6
   120_120_330_90_150_180_240        46205.8         1083.4          379.6          -84.3
     120_120_330_0_120_180_90         5609.7          135.4          379.6          -72.2
  150_330_240_150_120_180_150       143818.5          378.8          379.7          -49.2
     120_0_330_180_150_120_30         6112.5          240.7          379.7          -89.8
   150_330_330_240_150_180_30         8870.8          617.2          379.9          -79.8
      90_120_330_0_180_210_60         2337.4          122.2          379.9          -86.1
